paises,2000,2002,2008,2012
Canadah,,12552,11215,13444
Franceh,22910,23044,24236,28033
Irelandh,941,1001,1160,1246
Mexicoh,,5622,6297,5471
UnitedStatesh,,118873,114691,112054
Chileh,,,1783,1790
Canadam,,8096,10384,12037
Francem,3833,4507,8194,12010
Irelandm,538,598,860,1027
Mexicom,,2633,2851,2968
UnitedStatesm,,86024,100330,102172
Chilem,,,1070,1337
